,专业本科,专业研究生,专业类别,基层工作最低年限,学位要求,学历要求,序号,招录人数,招录机关,招考对象,政治面貌,用人单位(部门),职位代码,职位名称,职位简介,其他条件,备注,gsr_f,gsr_f_no,gsr_m,gsr_m_no,job_no
1377,"财务管理,国民经济管理,食品质量与安全  ",,综合管理,不限,学士,本科,431,1,宝山区,不限,中共党员或共青团员,区绿化市容局,2011378,综合计划科一级科员,负责处理机关办公室日常工作以及编制各种报表等工作。,无,,False,0,False,0,1
1378,,"环境科学与工程类,材料科学与工程类,化学类 ",综合管理,不限,硕士,硕士研究生及以上,432,1,宝山区,不限,不限,区生态环境局,2011379,综合计划科一级科员,负责生态环境保护督察迎接、协调，规划计划编制推进，大气、噪声、光、化石能源等污染防治的监督管理等工作。,具有相关工作经历者优先；中共党员优先。,,False,0,False,0,1
1379,,"环境科学与工程类,中国语言文学类,行政管理 ",综合管理,不限,硕士,硕士研究生及以上,433,1,宝山区,不限,不限,区生态环境局,2011380,办公室一级科员,负责实施文字文件、机关行政和党务日常运转等工作。,具有较强的文字表达能力；中共党员优先。,,False,0,False,0,1
1380,"工学,管理学,理学  ","工学,理学 ",综合管理,不限,学士,本科及以上,434,1,宝山区,不限,不限,区水务局,2011381,河湖长制工作科一级科员,负责河长制日常管理工作。,具有相关工作经历者优先、中共党员优先。,,False,0,False,0,1
1381,"食品质量与安全,体育教育,思想政治教育  ","中国哲学,食品科学,体育教育训练学 ",综合管理,不限,学士,本科及以上,435,1,宝山区,不限,不限,区教育局,2011382,学生发展科一级科员,负责管理和指导学校德育、体育、艺术、卫生和科技教育等工作。,具有学校工作经历者优先。,,False,0,False,0,1
1382,"水利类,安全科学与工程类,公共管理类  ","水利工程类,土木工程类,公共管理类 ",综合管理,不限,学士,本科及以上,436,1,宝山区,不限,不限,区应急管理局,2011383,综合减灾科一级科员,负责自然灾害防治工作，重点针对防汛防台工作。,具有较强的语言文字、组织协调能力；具有工程师资格优先。,需假日、夜间、汛期值班，比较适合男性 ,False,0,True,1,1
1383,"安全科学与工程类,机械类,电气类  ","冶金工程类,机械工程类,电气工程类 ",综合管理,不限,学士,本科及以上,437,1,宝山区,不限,不限,区应急管理局,2011384,应急指挥科一级科员,负责生产安全事故调查处理及应急处置工作。,有工程师资格者优先。,需假日、夜间、汛期值班，比较适合男性 ,False,0,True,1,1
1384,,"理学,管理学 ",综合管理,不限,硕士,硕士研究生,438,1,宝山区,不限,不限,区财政局,2011385,经济建设科一级科员,负责本区地方政府债务管理，拟订和执行地方政府债务管理办法，对地方政府债务实施监督等工作。,具有相关工作经历。,,False,0,False,0,1
1385,"管理学,经济学 ",管理学 ,综合管理,不限,学士,本科及以上,439,1,宝山区,不限,不限,区财政局,2011386,资产管理科一级科员,负责行政事业单位国有资产管理制度落实情况，监督指导预算主管部门、镇级部门国有资产管理等工作。,无,,False,0,False,0,1
1386,"财务管理,会计学,审计学  ","财政学,企业管理,会计学 ",财经管理,不限,学士,本科及以上,440,1,宝山区,不限,不限,区审计局,2011387,审计业务科一级科员,负责财政财务收支、经济责任审计、企业审计等业务等工作。,本科专业还可以为经济学；具有会计师、审计师等中级职称或具有审计工作经历者优先。,,False,0,False,0,1
1387,"中国语言文学类,政治学类,公共管理类  ","中国语言文学类,政治学类,公共管理类 ",综合管理,不限,学士,本科及以上,441,1,宝山区,不限,不限,区政协办,2011388,秘书科一级科员,负责区政协的各项会务工作，文稿起草、机要、档案工作及政协工作宣传报道等工作。,无,,False,0,False,0,1
1388,"汉语言文学,法学类,数学与应用数学  ",,综合管理,不限,学士,本科,442,1,宝山区,不限,中共党员,区残联,2011389,办公室一级科员,负责宣传、文秘、人事、信息化等工作。,无,,False,0,False,0,1
1389,行政管理 ,行政管理 ,综合管理,不限,学士,本科及以上,443,1,宝山区,不限,中共党员,吴淞街道,2011390,党政办公室一级科员,负责综合协调机关重要党政事务，承担办公室日常综合性事务管理工作以及机关后勤保障等工作。,无,,False,0,False,0,1
1390,工学 ,,综合管理,不限,学士,本科,444,1,宝山区,不限,中共党员,张庙街道,2011391,社区管理办公室一级科员,负责街道辖区内的综合管理，加强与对应设置部门的沟通和协调，推进市容市貌及小区环境的管理，并协助做好相关工作计划、总结的起草工作。,具有较强的文字写作及语言表达能力，学生干部优先。,,False,0,False,0,1
1391,法学 ,法学 ,政法,不限,学士,本科及以上,445,1,宝山区,不限,不限,司法所,2011392,一级科员,从事依法治理、法制宣传、人民调解、社区矫正、安置帮教等工作。,具有法律职业资格证书者优先。,,False,0,False,0,1
1392,不限 ,不限 ,综合管理,不限,无学位,本科及以上,446,1,闵行区,不限,不限,政协办,2011393,秘书科一级科员,文稿起草修改、会务保障、宣传报道、协调联系等工作,有一定的文字功底和摄影基础,,False,0,False,0,1
1393,不限 ,不限 ,综合管理,不限,学士,本科及以上,447,1,闵行区,不限,中共党员,司法局,2011394,政治处一级科员,负责人事工资管理、档案管理和党务党建等工作。,具有较强的文字组织能力和沟通协调能力，工作认真细致，责任心强。有党务工作经验者优先。,,False,0,False,0,1
1394,"中国语言文学类,新闻传播学类,法学类  ","中国语言文学类,新闻传播学类,法学类 ",综合管理,不限,学士,本科及以上,448,1,闵行区,不限,不限,司法局,2011395,普法与依法治理科一级科员,负责组织全区对外法治宣传工作，负责局微博、微信公众号等新媒体工作的维护和建设等工作。,有新媒体工作经验者优先。,,False,0,False,0,1
1395,法学类 ,法学类 ,政法,不限,学士,本科及以上,449,2,闵行区,不限,不限,司法局,2011396,司法所一级科员（社区矫正）,负责开展人民调解、社区矫正、法治宣传教育等工作。,通过国家司法考试（国家统一法律职业资格考试）。,,False,0,False,0,2
1396,土木类 ,土木工程类 ,城市建设管理,不限,学士,本科及以上,450,1,闵行区,不限,不限,住房保障和房屋管理局,2011397,建管科一级科员,负责住房建设及配套设施等工作计划并组织实施,无,,False,0,False,0,1
1397,经济学 ,经济学 ,财经管理,不限,学士,本科及以上,451,1,闵行区,不限,不限,新虹街道办事处,2011398,社区保障办公室一级科员,从事街道财务管理、财务内审、资产管理等服务保障工作,无,,False,0,False,0,1
1398,会计学 ,会计学 ,财经管理,不限,学士,本科及以上,452,1,闵行区,不限,不限,经济委员会,2011399,财会人员四级主任科员及以下,1承担编制部门预决算和规划；2负责机关和所属事业单位的行政经费财务管理、市拨资金及专项资金的拨付和内部审计工作；3开展各类预算的绩效管理和项目审计工作。,无,,False,0,False,0,1
1399,"中国语言文学类,新闻学 ","汉语言文字学,新闻学 ",综合管理,不限,学士,本科及以上,453,1,闵行区,不限,不限,经济委员会,2011400,党群科一级科员,1、文书写作；2、承办会务；3、文书资料管理；4、负责机关及所属事业单位的组织、党建、宣传等工作。,党员优先,,False,0,False,0,1
1400,"经济学类,工商管理类 ","经济学,工商管理类 ",综合管理,不限,学士,本科及以上,454,2,闵行区,不限,不限,经济委员会,2011401,产业条线一级科员,1、熟悉经济学类专业知识，了解一定规划土地和节能降碳知识，掌握行业市场经济运行分析方法；2、负责产业结构调整、节能降耗等政策兑现和相关企业服务；3、推进完善园区运行工作体制机制，做好园区服务工作；4、制定工业投资项目发展规划；5、推进工业企业技术改造和工业固定资产投资、重大产业项目建设；6、开展产业项目全生命周期管理。,无,,False,0,False,0,2
1401,管理学 ,管理学 ,综合管理,不限,学士,本科及以上,455,1,闵行区,不限,不限,经济委员会,2011402,外资管理科一级科员,1、贯彻落实外商投资相关法律、法规和政策，研究制定本区外商投资发展政策并组织实施。 2、指导协调外商投资促进工作，负责本区外商投资企业运行情况监测分析，对外商投资企业及其投资者设立和变更备案情况开展监督检查等工作,党员优先,,False,0,False,0,1
1402,"法学,文学,管理学  ","法学,文学,管理学 ",综合管理,不限,学士,本科及以上,456,2,闵行区,不限,中共党员,中共上海市闵行区纪律检查委员会、上海市闵行区监察委员会,2011403,纪检监察室一级科员,主要从事执纪监督和审查调查工作。,1.全日制大学本科；2.具有较好的文字综合能力；3.同等条件下具有基层工作经历者优先。,服从统一分配。 ,False,0,False,0,2
1403,"法学,文学,管理学  ","法学,文学,管理学 ",综合管理,不限,学士,本科及以上,457,1,闵行区,不限,中共党员,中共上海市闵行区委巡察工作领导小组办公室,2011404,综合科一级科员,主要从事巡察综合管理工作,1.全日制大学本科；2.具有较好的文字综合能力；3.同等条件下具有基层工作经历者优先。,服从统一分配。 ,False,0,False,0,1
1404,,艺术学类 ,综合管理,不限,硕士,硕士研究生,458,1,嘉定区,不限,中共党员,人大办,2011405,综合信息科四级主任科员及以下,网页设计、摄像等。,无,有人大工作经验、熟悉履职平台系统操作优先。 ,False,0,False,0,1
1405,,政治学类 ,综合管理,不限,硕士,硕士研究生,459,1,嘉定区,不限,中共党员,政协办,2011406,秘书科四级主任科员及以下,负责文稿起草、公文处理、会议筹备等工作。,本科及研究生均为全日制。熟悉文稿起草、公文写作，有较强的文字综合和组织协调能力。,有相关工作经验者优先。  ,False,0,False,0,1
1406,,"社会学类,工学,理学 ",综合管理,不限,硕士,硕士研究生,460,1,嘉定区,不限,不限,发改委,2011407,信用推进科一级科员,协助推进本区社会信用体系建设工作；开展本区信用平台建设和信用信息资源共享工作；协助起草相关政策文件；对归集的信用信息数据开展汇总分析，提出信用应用场景建议和具体实施方案；提供公共信用信息报告查询服务；协助推进产业发展工作。,需具有相关工作经验，有一定的文字表达能力和组织协调能力，身体健康。,熟悉本地语言者优先。 ,False,0,False,0,1
1407,中国语言文学类 ,中国语言文学类 ,综合管理,不限,学士,本科及以上,461,1,嘉定区,不限,中共党员,房管局,2011408,办公室一级科员,负责公文收发、信息报送、文件起草等工作，协助部门领导做好其它相关事务及领导交办的其它事务。,有较强文字功底，工作认真踏实，具有较好的沟通协调能力。,,False,0,False,0,1
1408,,"经济学,管理学 ",综合管理,不限,硕士,硕士研究生,462,1,嘉定区,不限,不限,工商联,2011409,调研科四级主任科员及以下,做好工商联课题调研工作、指导非公经济代表人士参政议政和基层商会课题调研，承担大会发言、调研报告、企业调查研究等工作。,文字能力较强，善于调查分析研究。,,False,0,False,0,1
1409,不限 ,不限 ,财经管理,不限,学士,本科及以上,463,1,嘉定区,不限,不限,安亭镇,2011410,经济发展办公室一级科员,制定经济发展规划，负责招商、企业服务、科技、审计、资产、财务、经济考核等相关工作，落实本镇区域二、三产业协调服务，协助做好行政事业单位资产和财务管理、内部审计、开展各项统计、普查、调查等工作。,全日制本科及以上学历。有较强的文字表达和综合分析能力。,乡镇公务员职位 ,False,0,False,0,1
1410,"法学,文学 ","法学,文学 ",综合管理,不限,学士,本科及以上,464,1,金山区,不限,中共党员,人大办公室,2011411,文秘科四级主任科员及以下,从事有关文稿的起草工作，协助做好区人大相关活动的服务保障。,熟悉文稿起草和公文写作，具有较好的文字综合能力。,,False,0,False,0,1
1411,,行政管理 ,综合管理,不限,硕士,硕士研究生,465,1,金山区,不限,中共党员,区委统战部,2011412,办公室四级主任科员及以下,从事文字信息处理、会务协调等工作，协调政党关系、民族关系、宗教关系、阶层关系、海内外同胞关系领域工作。,具有较强的语言文字综合能力和沟通协调能力，具备统一战线工作基本知识和相关工作经历。,少数民族优先。 ,False,0,False,0,1
1412,,"应用经济学类,工学 ",综合管理,不限,硕士,硕士研究生及以上,466,1,金山区,不限,不限,发改委,2011413,办公室二级主任科员及以下,负责办公室网络维护、管理等日常工作，具有较强的语言文字写作能力。,无,,False,0,False,0,1
1413,,"哲学类,中国语言文学类 ",综合管理,不限,硕士,硕士研究生及以上,467,1,金山区,不限,不限,经委,2011414,办公室二级主任科员及以下,从事政策研究、课题研究、综合文字等工作。,无,,False,0,False,0,1
1414,法学 ,法学 ,政法,不限,学士,本科及以上,468,1,金山区,不限,不限,司法局,2011415,行政执法协调监督科四级主任科员及以下,负责行政执法协调监督工作。,无,通过国家法律职业资格考试优先，中共党员优先。 ,False,0,False,0,1
1415,法学 ,法学 ,政法,不限,学士,本科及以上,469,2,金山区,不限,不限,司法局,2011416,基层司法所四级主任科员及以下,负责基层法治建设、公共法律服务、社区矫正与安置帮教、人民调解等工作。,无,通过国家法律职业资格考试优先，中共党员优先。 ,False,0,False,0,2
1416,,"财政学,金融学,会计学 ",财经管理,不限,硕士,硕士研究生,470,1,金山区,不限,不限,财政局,2011417,金融科四级主任科员及以下,负责组织实施财政金融改革、地方债务管理等。,具备财税金融等方面的专业知识；具有较强的文字综合和组织协调等能力。,,False,0,False,0,1
1417,法学 ,,政法,不限,学士,本科,471,1,金山区,不限,不限,应急管理局,2011418,法宣科一级科员,负责机关法治审查、行政处罚案件材料审核等工作。,无,,False,0,False,0,1
1418,,"财政学,金融学,工商管理类 ",财经管理,不限,硕士,硕士研究生,472,1,金山区,不限,不限,审计局,2011419,经济责任审计科四级主任科员及以下,对区管党政主要领导干部、国有企事业单位主要领导人员进行经济责任审计。,无,,False,0,False,0,1
1419,"中国语言文学类,新闻传播学类 ","中国语言文学类,新闻传播学类 ",综合管理,不限,学士,本科及以上,473,1,金山区,不限,不限,市场监管局,2011420,办公室四级主任科员及以下,从事市场监督管理，起草有关文件和材料，策划新闻报道和对外宣传报道。,掌握常用法律法规，具有较强的语言文字、计算机操作、组织计划与综合协调能力。,有相关工作经历优先。 ,False,0,False,0,1
1420,"计算机类,信息管理与信息系统 ",计算机科学与技术类 ,信息管理,不限,学士,本科及以上,474,1,金山区,不限,不限,市场监管局,2011421,办公室四级主任科员及以下,从事信息中心管理、计算机维护等相关工作。,具有较高的计算机操作水平。,,False,0,False,0,1
